 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.44,0,0.95,0.32,0.39,0,0,0.57,0,0,1.61,0.62,1.01,0.03,0.28,0.08,0,0
2.59,0.34,1.17,0.53,1.18,2.49,1.89,1.42,0,0.2,0.61,0,1.38,0,3.74,0.53,0,0
1.54,0.03,2.9,0,0.86,0.32,0.64,1.77,0.01,0.45,0.3,0.49,0.34,0,1.98,1.17,0,0
1.36,0,5,0,1.57,2.72,1.3,1.2,0,0,1.59,1.53,0.16,0,1.08,0.58,0.15,0
2.5,0.36,2.63,0,0.51,0.76,1.35,0.22,0.01,0.98,0.95,0,1.05,0,2.25,0,0,0
2.29,0,4.07,0,0.3,0.22,0.17,0.83,0,0,0.93,0.56,0.32,0,1.37,0,0,0
2.42,0.23,1.94,0.55,0.16,0,0.63,0.67,0.27,0,0.52,0,0,0,1.24,0,0,0
3.12,0,3.45,0.96,0.84,2.5,1.22,0.43,0,0,1.57,0.31,1.13,0.13,1.55,0,0.37,0
1.62,0,2.89,0,0.48,1.23,0.45,0.97,0,0,0.64,1,0.35,0,0.76,0.61,0,0
1.98,0,1.23,0,0.09,1.7,0,0.14,0.04,0,0.76,0,1.55,0.55,1.21,0,0,0
2.07,0,1.37,0.12,0,0.59,0,0,0,0,1.38,0.41,0.68,0,0.45,0,0,0
1.92,0.03,3.68,0.16,0.31,1.33,0.79,0,0,0,1.06,1.18,0,0,0.72,0.14,0.22,0
1.35,0,1.29,0.36,0,0.67,0.23,0,0,0,0.97,1.62,0.15,0.18,0.72,0.43,0,0
2.19,0,2.93,0,0.05,0.37,0.79,0.13,0,1.42,0.43,1.38,1.13,0,0.36,0.74,0.36,0
1.3,0.01,2.75,0,0.7,0.12,0.5,0.8,0,0.87,1,1.18,0.09,0,1.03,1.32,0,0
2.45,1.34,0.32,1.63,0,0,0,0,0.83,1.62,0,0.74,0.72,0.36,0.36,0.29,0,0
2.1,0,1.28,0.12,0.22,0,0.27,0.04,0,0,1.07,0,0,0,0.94,0,0,0
1.25,0,1.38,0.39,0.51,0.08,0,1.69,0.04,0,0.76,0.24,1.09,0,1.76,0.22,0,0
3.02,0.11,2.8,0.91,0,0.47,0.02,0.03,0.27,0.94,0.54,0.38,1.06,0,0.99,0.01,0.11,0
4.72,2.62,1.39,2.11,0,0,0,0.22,0,0,1.31,0,0.69,0,3.48,0.51,0,0
2.64,0.27,1.08,0.08,0.75,0.01,0.59,0.88,0.4,0,1.43,0.03,0.49,0,1.42,0,0,0
1.96,0,2.54,0.62,0.06,0.67,0,0,0,0,1.2,1.19,0,0,0.6,0,0,0
3.38,1.14,2.4,1.93,0,0,0,0.27,0.83,0.76,1.21,1.16,1.6,0.21,1.02,0,0,0
2.92,0.99,3.08,0.79,0,0.19,0.23,0.41,0,1.17,0.96,0.86,0.44,0,1.77,0,0.17,0
1.54,0.31,2.45,0,0.47,0.8,1.34,1.4,0.22,0,1.19,1.68,0,0,0.26,0,0,0
1.04,0,1.69,0.81,0.11,1.22,0.47,0.21,0,0,0.93,0.64,0.07,0,0.86,0.36,0,0
2.63,0,2.27,0.66,0.62,1.59,0.58,0.19,0,0,1.52,0.59,0,0,0.93,0,0.27,0
1.35,0,4.67,0,0.52,1.42,0.83,0.88,0,0.43,0.59,0.61,0,0,0.5,0.46,0.18,0
1.98,0,2.81,0.03,0.77,0,0,1.25,0,0.53,0.35,0.78,0,0,0.72,0.33,0,0
1.84,0.99,2.47,1.66,0.04,0,0,0.72,0.21,1.61,0,1.42,0,0,0.11,0,0,0
