 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
0,0,0.03,0.26,0,0.7,0,0,0,0,0.41,0,0.13,0,0,0.39,0.02,4
0.46,0.63,0.1,0,0,0.98,0,0.15,0,0,0,0,0,0,0,0,0,4
3.11,1.84,1.73,0.75,0,1.11,0,0,0.41,0,1.05,0.41,0.03,0,0.9,0,0,4
0.26,0.08,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3.38,2.43,0,0.65,0,0,0,0,0.35,0,0.23,0.61,0,0,0,0.06,0,4
0,0.88,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,4
1.92,0.59,0.17,0.27,0.03,1.23,0.45,0.44,0,0,0.49,0,0,0,0.17,0.62,0.76,4
1.58,1.25,0.35,0.29,0,0.31,0,0,0,0,0.88,0,0,0.25,0,0,0.61,4
0.9,0.33,1.44,0.74,0,0.21,0,0.26,0.57,0.13,0.48,0.44,0.16,0.33,0.84,1.17,0.7,4
2.01,2.08,1.04,2.08,0,0,0,0,0.35,0,0.95,0.21,1.06,0,0.82,0,0,4
0.99,0.73,0.24,0,0.2,1.01,0,0,0,0,0.53,0,1.59,0,1.01,0.71,0,4
0.26,1.2,0,1.54,0.19,0,1.32,0.17,0,0,1.33,0,0.08,0,1.04,0,0,4
2.82,1.64,0,0,0,0,0,0,0.07,0,0.31,0,0,0,0.79,0.39,0,4
0.07,0.88,0,0,0,0.3,0,0,0,0,0,0,0.45,0,0,0.26,0,4
1.03,1.17,0,0,0.78,0.2,0.66,1.43,1.22,0.61,0.46,0.08,0.92,0.39,1.69,1.34,0.22,4
